losses/action_loss,losses/dist_entropy,losses/kl_loss,losses/value_loss,test/mean_episode_reward,test/median_episode_reward,train/mean_episode_reward,train/median_episode_reward,train/nupdates,train/total_num_steps
-0.0011249695671722293,2.6171458860238395,0.004141205713191691,0.23629200334350267,1.9,0.5,1.4,1.5,20,344064
0.0004446708286801974,2.6015983323256173,0.009246359260335643,0.2558750535051028,2.2,1.5,2.6,2.0,21,360448
-0.0005048127107632657,2.533789247274399,0.00930295099048332,0.2818278484046459,3.2,1.5,2.3,1.5,22,376832
0.0004379288778485109,2.5189194281895957,0.009494373754326565,0.29134362501402694,3.5,3.5,3.7,4.0,23,393216
-0.0006293729335690538,2.5732191701730094,0.0037317740025173407,0.1973138147344192,3.7,4.0,1.3,0.0,24,409600
-0.0011610152238669496,2.566072255373001,0.006581249669276683,0.2343038978676001,2.4,2.0,2.5,2.5,25,425984
-0.00031436564556012553,2.539044976234436,0.001730741798382951,0.25125050979355973,1.5,0.5,2.7,1.5,26,442368
0.0006549572184061011,2.528356591860453,0.005980583275231766,0.25954057835042477,3.7,2.5,2.6,2.0,27,458752
-0.0005648235868041714,2.51406666636467,0.002537234874883628,0.28532972062627476,3.8,3.5,2.8,3.0,28,475136
0.0011455596153003473,2.485797236363093,0.008128539021223938,0.32741332550843555,2.7,2.5,2.4,2.5,29,491520
-0.0011544390969599287,2.410809804995855,0.003827309816794392,0.3621811593572299,3.4,4.0,4.4,3.5,30,507904
0.0005346998126090815,2.3812158505121865,0.0068450291219051,0.4249586860338847,5.4,5.0,2.4,1.5,31,524288
0.00307674413973776,2.332546204328537,0.01734398787569565,0.47784801945090294,3.1,2.0,3.2,3.0,32,540672
-0.00029256885560850304,2.465682804584503,0.005490344764742379,0.27990475048621494,2.9,3.0,3.1,1.5,33,557056
0.0005663713964167982,2.51041841506958,0.008529454020996733,0.30448418731490773,3.3,3.0,3.0,4.0,34,573440
-0.0007409628403062621,2.4500863452752433,0.004545113998271215,0.3007827438414097,3.4,3.5,2.4,1.5,35,589824
0.0010290138307027519,2.430887460708618,0.006732402522175107,0.35898248851299286,2.0,2.0,3.7,4.0,36,606208
-1.8713704776018858e-05,2.4427373707294464,0.004185416141505509,0.2934570374588172,2.4,3.0,3.1,2.5,37,622592
-0.00013424974167719483,2.489350527524948,0.003524048708641203,0.24795646034181118,2.9,2.0,3.4,3.0,38,638976
-0.00145731822703965,2.506685107946396,0.0027658529670588905,0.19272252668937048,1.8,1.5,2.5,2.5,39,655360
-0.0008128606132231653,2.518927971522013,0.0030122598060794794,0.18107404249409834,2.1,2.0,0.7,0.0,40,671744
-0.0006879739618549744,2.5050430794556937,0.0055388134145080885,0.21163370398183665,3.4,2.0,1.8,1.5,41,688128
-0.00023282378485115865,2.492927094300588,0.006928124574187677,0.190364645794034,2.6,2.5,2.2,2.0,42,704512
-0.0008540521181809405,2.400532454252243,0.0022224918405603,0.2360963864872853,2.6,1.5,2.6,2.5,43,720896
